,Предпочтение / частота использования банка,Оценка банковского приложения,Качество работы при отсутствии интернета,Выгода условий и кэшбэка,Качество поддержки клиентов,Скорость работы сервиса,Понятность интерфейса,Доверие к банку,Интегральная оценка
Сбер,3.116279069767442,3.302325581395349,2.046511627906977,2.2790697674418605,2.9302325581395348,3.3255813953488373,3.6511627906976742,3.441860465116279,3.011627906976744
Т-Банк,3.046511627906977,3.2325581395348837,2.0,2.7674418604651163,2.883720930232558,3.2093023255813953,3.441860465116279,2.8372093023255816,2.927325581395349
АльфаБанк,2.1627906976744184,2.558139534883721,1.9767441860465116,2.7209302325581395,2.558139534883721,2.7906976744186047,2.7906976744186047,2.697674418604651,2.5319767441860463
ВТБ,1.5813953488372092,2.046511627906977,1.697674418604651,2.0930232558139537,1.9767441860465116,2.302325581395349,2.302325581395349,2.395348837209302,2.049418604651163
БСПБ,1.7906976744186047,2.186046511627907,1.8604651162790697,1.7209302325581395,2.2093023255813953,2.5813953488372094,2.6744186046511627,2.441860465116279,2.183139534883721
