Критерий,chi2,p_value,W
Предпочтение,34.509687034277135,5.857263862200948e-07,0.20063771531556474
Приложение,33.51111111111106,9.386181470927152e-07,0.19483204134366897
Оффлайн,7.869706840390809,0.09646930059122819,0.04575410953715587
Кэшбэк,23.112016293278984,0.00012026548801200608,0.134372187751622
Поддержка,22.977578475336404,0.00012793888656545928,0.1335905725310256
Скорость,20.91935483870973,0.0003285429913665143,0.12162415603901006
Интерфейс,37.40856031128395,1.4838667865573274e-07,0.21749162971676714
Доверие,20.609022556390997,0.0003784943532377539,0.11981989858366858
Интегр.,35.2436750998668,4.139574707472984e-07,0.20490508778992325
